SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	August 14, 2018	August 13, 2018	August 10, 2018	August 09, 2018	August 08, 2018
Swedish krona		12.728800	12.603000	12.563600	12.443100
Swiss franc		1.380230	1.384220	1.388380	1.391800
Thai baht			46.264400	46.368200	46.413200
Trinidadian dollar		9.404510	9.424450	9.458410	9.446170
Tunisian dinar			3.806440	3.813840	3.799280
U.A.E. dirham		5.095900	5.109340	5.133470	5.131650
Uruguayan peso			43.323200	42.893200	42.151400
Bolivar Fuerte		344,412.000000	287,766.000000	289,126.000000	289,023.000000


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
